[Name, Average, StrikeRate, AveragePerInnings, PercentageOfScoring50]
[DA Warner (AUS), 45.77, 95.55, 43.772, 17.54386]
[CL Cairns (ICC/NZ), 29.46, 84.26, 25.648, 13.47150]
[Q de Kock (SA), 45.01, 95.2, 42.670, 20.86957]
[Aamer Sohail (PAK), 31.86, 65.5, 30.839, 20.00000]
[CD McMillan (NZ), 28.18, 75.94, 25.721, 15.30055]
[MD Crowe (NZ), 38.55, 72.63, 33.600, 24.28571]
[MV Boucher (Afr/SA), 28.57, 84.76, 21.204, 11.76471]
[AJ Stewart (ENG), 31.6, 68.36, 28.870, 17.28395]
[AJ Finch (AUS), 40.34, 89.51, 39.643, 20.86957]
[SB Styris (NZ), 32.48, 79.41, 27.845, 17.39130]
[KP Pietersen (ENG/ICC), 40.73, 86.58, 35.520, 20.00000]
[NS Sidhu (INDIA), 37.08, 69.72, 34.748, 25.98425]
[CZ Harris (NZ), 29, 66.51, 20.559, 7.51174]
[GR Marsh (AUS), 39.97, 55.93, 37.887, 19.13043]
[E Chigumbura (Afr/ZIM), 25.23, 80.02, 21.919, 9.59596]
[ME Trescothick (ENG), 37.37, 85.21, 35.533, 17.21311]
[GA Gooch (ENG), 36.98, 61.88, 35.164, 18.85246]
[AJ Strauss (ENG), 35.63, 80.94, 33.373, 21.42857]
[K Srikkanth (INDIA), 29.01, 71.74, 28.214, 18.62069]
[PR Stirling (IRE), 37.04, 87.27, 36.378, 20.72072]
[WTS Porterfield (IRE), 31.05, 69.38, 30.353, 12.78195]
[AJ Lamb (ENG), 39.31, 75.54, 33.983, 22.03390]
[Mahmudullah (BDESH), 33.84, 76.48, 24.963, 13.12500]
[RP Arnold (SL), 35.26, 72.57, 25.484, 18.06452]
[AP Gurusinha (SL), 28.27, 60.88, 27.287, 15.38462]
[JG Wright (NZ), 26.46, 57.18, 26.291, 16.21622]
[DJ Cullinan (SA), 32.99, 70.28, 29.023, 17.29323]
[GA Hick (ENG), 37.33, 74.08, 32.593, 22.88136]
[JC Buttler (ENG), 40.88, 119.83, 32.846, 17.09402]
[SPD Smith (AUS), 41.41, 86.31, 36.635, 22.11538]
[HP Tillakaratne (SL), 29.6, 57.51, 22.554, 7.73810]
[N Kapil Dev (INDIA), 23.79, 95.07, 19.106, 7.07071]
[Wasim Akram (PAK), 16.52, 88.33, 13.275, 2.14286]
[SC Williams (ZIM), 34.1, 81.76, 29.268, 24.40945]
[RS Kaluwitharana (SL), 22.22, 77.7, 20.503, 12.70718]
[Imran Khan (PAK), 33.41, 72.65, 24.563, 12.58278]
[PV Simmons (WI), 28.93, 67.96, 26.630, 13.04348]
[NV Knight (ENG), 40.41, 71.52, 36.370, 25.00000]
[LD Chandimal (SL), 32.42, 74.12, 27.265, 16.66667]
[L Klusener (SA), 41.1, 89.91, 26.102, 13.86861]
[SM Pollock (Afr/ICC/SA), 26.45, 86.69, 17.166, 6.82927]
[MA Taylor (AUS), 32.23, 59.46, 31.945, 25.45455]
[DB Vengsarkar (INDIA), 34.73, 67.73, 29.233, 19.16667]
[KJ O'Brien (IRE), 30.88, 88.98, 26.846, 13.84615]
[Mohammad Ashraful (Asia/BDESH), 22.23, 70.1, 20.521, 11.83432]
[SO Tikolo (Afr/KENYA), 29.05, 75.77, 26.369, 18.46154]
[HH Dippenaar (Afr/SA), 42.23, 67.78, 36.011, 27.36842]
[A Flintoff (ENG/ICC), 32.01, 88.82, 27.820, 14.75410]
[T Taibu (Afr/ZIM), 29.25, 67.58, 24.766, 16.05839]
[JJ Roy (ENG), 42.79, 107.4, 41.741, 22.22222]
[KC Wessels (AUS/SA), 34.35, 55.3, 32.067, 24.76190]
[Babar Azam (PAK), 54.17, 87.08, 46.653, 20.83333]
[AC Parore (NZ), 25.68, 68.09, 20.584, 8.69565]
[Moin Khan (PAK), 23, 81.3, 17.847, 6.55738]
[Kamran Akmal (PAK), 26.09, 83.94, 23.449, 7.24638]
[AN Cook (ENG), 36.4, 77.13, 34.826, 20.65217]
[HDRL Thirimanne (SL), 34.71, 72.27, 30.132, 19.81132]
[Umar Akmal (PAK), 34.34, 86.04, 29.036, 18.18182]
[DI Gower (ENG), 30.77, 75.15, 28.559, 10.81081]
[KR Rutherford (NZ), 29.65, 64.3, 27.330, 15.65217]
[BJ Haddin (AUS), 31.53, 84.24, 27.148, 13.91304]
[RJ Shastri (INDIA), 29.04, 61.07, 24.281, 14.06250]
[SM Gavaskar (INDIA), 35.13, 62.26, 30.314, 26.47059]
[DS Lehmann (AUS), 38.96, 81.34, 30.475, 16.83168]
[DA Miller (SA), 38.7, 100.13, 27.800, 10.90909]
