[Name, Average, StrikeRate, AveragePerInnings, PercentageOfScoring50]
[Akram Khan (BDESH), 23.23, 56.71, 22.182, 11.36364]
[TLW Cooper (NL), 48.8, 70.16, 44.364, 36.36364]
[Javed Ahmadi (AFG), 23.8, 75.6, 23.805, 17.07317]
[Naeem Islam (BDESH), 27.08, 66.19, 19.118, 9.80392]
[DF Watts (SCOT), 28.64, 62.47, 27.829, 25.71429]
[Waqar Younis (PAK), 10.3, 67.05, 6.971, 0.00000]
[Fawad Alam (PAK), 40.25, 74.47, 26.833, 16.66667]
[SA Thomson (NZ), 22.95, 67.55, 18.538, 9.61538]
[JF Mooney (IRE), 23.48, 79.25, 17.509, 5.45455]
[GM Ritchie (AUS), 27.4, 64.84, 22.833, 14.28571]
[HH Pandya (INDIA), 29.9, 115.57, 25.184, 10.52632]
[RR Watson (SCOT), 30.83, 74.33, 27.314, 17.14286]
[MD Marshall (WI), 14.92, 76.64, 11.506, 2.40964]
[SF Mire (ZIM), 20.31, 80.25, 20.319, 6.38298]
[Imad Wasim (PAK), 41.39, 109.67, 24.410, 12.82051]
[MG Johnson (AUS), 16.11, 96.35, 10.451, 2.19780]
[RS Madugalle (SL), 18.62, 60.35, 16.964, 5.35714]
[NT Broom (NZ), 26.94, 81.22, 24.179, 12.82051]
[A Kumble (Asia/INDIA), 10.53, 61.06, 6.897, 0.00000]
[CM Spearman (NZ), 18.72, 77.87, 18.720, 10.00000]
[RV Uthappa (INDIA), 25.94, 90.59, 22.238, 14.28571]
[W Barresi (NL), 35.65, 75.67, 29.903, 19.35484]
[AN Kervezee (NL), 28, 73.15, 25.667, 11.11111]
[S Dhaniram (CAN), 24.72, 81.26, 22.317, 14.63415]
[AJ Hall (SA), 21.04, 75.04, 16.161, 5.35714]
[Rashid Khan (AFG), 19.25, 99.88, 16.161, 7.14286]
[MJ Santner (NZ), 27.21, 87.95, 16.630, 3.70370]
[TD Paine (AUS), 27.81, 70.8, 25.429, 14.28571]
[KL Rahul (INDIA), 42.33, 80.96, 35.560, 20.00000]
[JWA Taylor (ENG), 42.23, 80.12, 34.115, 26.92308]
[J Srinath (INDIA), 10.63, 79.62, 7.298, 0.82645]
[Yashpal Sharma (INDIA), 28.48, 63.02, 22.075, 10.00000]
[TT Bresnan (ENG), 19.79, 90.25, 13.609, 1.56250]
[SHT Kandamby (SL), 29, 69.6, 24.167, 13.88889]
[AC Voges (AUS), 45.78, 87.17, 31.071, 14.28571]
[DJ Richardson (SA), 19.72, 66.87, 11.273, 1.29870]
[MA Vermeulen (ZIM), 22.25, 70.74, 20.186, 13.95349]
[HK Badani (INDIA), 33.34, 73.47, 24.083, 11.11111]
[GO Jones (ENG/PNG), 24.62, 77.17, 20.047, 9.30233]
[TT Samaraweera (SL), 27.8, 69.29, 20.524, 0.00000]
[SB Smith (AUS), 39.13, 65.27, 35.875, 33.33333]
[DL Amiss (ENG), 47.72, 72.48, 47.722, 5.55556]
[RA Harper (WI), 16.13, 73.58, 11.712, 0.00000]
[WB Phillips (AUS), 24.34, 85.71, 20.780, 14.63415]
[CWJ Athey (ENG), 31.4, 56.72, 28.267, 13.33333]
[RS Kalpage (SL), 20.58, 63.93, 12.232, 1.44928]
[MAR Samarasekera (SL), 22.81, 69.92, 21.641, 10.25641]
[D Ganga (WI), 25.54, 59.61, 24.794, 26.47059]
[CA Ingram (SA), 32.42, 82.32, 29.069, 10.34483]
[BM McMillan (SA), 23.36, 73.32, 16.173, 0.00000]
[CK Coventry (ZIM), 24.44, 88.68, 23.743, 8.57143]
[Anshuman Rath (HKG), 51.75, 76.66, 46.000, 38.88889]
[PJ Moor (ZIM), 20.67, 67.51, 18.378, 8.88889]
[DW Hookes (AUS), 24.29, 72.07, 22.944, 13.88889]
[PJ Hughes (AUS), 35.91, 75.09, 34.417, 16.66667]
[AI Kallicharran (WI), 34.41, 62.15, 29.500, 21.42857]
[JR Ratnayeke (SL), 14.98, 52.45, 11.942, 1.44928]
[GN Yallop (AUS), 39.19, 63.89, 30.481, 25.92593]
[AC Waller (ZIM), 23.37, 69.79, 21.526, 10.52632]
[DM de Silva (SL), 25.43, 75.86, 20.872, 10.25641]
[Sharjeel Khan (PAK), 32.48, 113.4, 32.480, 24.00000]
[YK Pathan (INDIA), 27, 113.6, 19.756, 7.31707]
[AT Carey (AUS), 40.2, 91.99, 30.923, 15.38462]
[JM Davison (CAN), 26.63, 104.17, 24.969, 15.62500]
[Aminul Islam (BDESH), 23.35, 56.59, 20.359, 7.69231]
[Z Khan (Asia/INDIA), 12, 73.46, 7.842, 0.00000]
[GB Hogg (AUS), 20.25, 78.68, 12.154, 3.07692]
[Majid Khan (PAK), 37.42, 74.71, 35.727, 31.81818]
[S Wettimuny (SL), 24.56, 48.04, 23.818, 12.12121]
[Babar Hayat (HKG), 39.2, 78.47, 35.636, 36.36364]
[R Lamba (INDIA), 27, 67.15, 25.258, 19.35484]
[IH Romaine (BMUDA), 25.25, 64.07, 23.029, 11.76471]
[JA Morkel (Afr/SA), 23.69, 100.25, 18.186, 4.65116]
[Wasim Raja (PAK), 22.34, 66.95, 17.378, 4.44444]
[Abdur Razzak (BDESH), 13.43, 76.37, 8.031, 1.03093]
[AR White (IRE), 18.04, 62.83, 16.870, 2.17391]
[Liton Das (BDESH), 24.77, 88.17, 23.273, 9.09091]
[Saleem Yousuf (PAK), 17.86, 75, 12.387, 6.45161]
[CN Evans (ZIM), 18.19, 75.94, 16.255, 4.25532]
[Rizwan Cheema (CAN), 24.64, 111.53, 23.875, 18.75000]
[KWR Fletcher (ENG), 39.84, 66.75, 34.409, 22.72727]
[J Dyson (AUS), 32.82, 48.61, 27.963, 14.81481]
[AR Cusack (IRE), 22.57, 64.27, 15.851, 4.25532]
[AG Cremer (ZIM), 14.58, 62.2, 10.479, 1.40845]
[G Fowler (ENG), 31, 56.32, 28.615, 15.38462]
[DT Johnston (IRE), 19.55, 94.64, 14.019, 0.00000]
[Manzoor Elahi (PAK), 22.45, 89.6, 16.109, 2.17391]
[AM Samad (CAN), 29.6, 70.81, 27.407, 7.40741]
[A Vala (PNG), 27.37, 68.29, 27.370, 7.40741]
[PA Patel (INDIA), 23.74, 76.5, 21.647, 11.76471]
[Sohaib Maqsood (PAK), 31.95, 83.42, 29.400, 20.00000]
[MW Machan (SCOT), 33.36, 77.1, 33.364, 13.63636]
[CJ Nevin (NZ), 20.33, 73.2, 20.333, 11.11111]
[N Pooran (WI), 52, 110.13, 42.824, 29.41176]
[CJ Tavare (ENG), 27.69, 48.94, 25.714, 14.28571]
[TP Ura (PNG), 27.61, 80.49, 27.615, 7.69231]
[MA Ealham (ENG), 17.46, 65.56, 15.911, 0.00000]
[IJ Harvey (AUS), 17.87, 88.16, 14.020, 0.00000]
[Muhammad Usman (UAE), 27.42, 76.83, 23.767, 10.00000]
[Saqlain Mushtaq (PAK), 11.85, 49.58, 7.255, 0.00000]
[LJ Wright (ENG), 20.2, 86.21, 18.128, 5.12821]
[Mohammad Rizwan (PAK), 33.57, 89.58, 25.179, 10.71429]
[J Mubarak (SL), 22.7, 63.13, 19.027, 10.81081]
[PA Wallace (WI), 21.24, 60.9, 21.242, 6.06061]
[SM Ervine (ZIM), 25.85, 85.53, 20.529, 5.88235]
[PL Symcox (SA), 16.92, 83.61, 12.852, 5.55556]
[Rameez Shahzad (UAE), 53.15, 84.57, 46.067, 26.66667]
[PAJ DeFreitas (ENG), 16.04, 83.83, 10.455, 1.51515]
[N Deonarine (WI), 26.23, 68.95, 23.517, 13.79310]
[Wahab Riaz (PAK), 13.87, 86.4, 10.625, 3.12500]
[JR Murray (WI), 22.6, 72.98, 18.833, 13.88889]
[TG Southee (NZ), 12.75, 98.54, 7.953, 1.17647]
[R Ashwin (INDIA), 16.07, 86.98, 11.066, 1.63934]
[Nizakat Khan (HKG), 33.75, 82.92, 33.750, 15.00000]
[M Muralitharan (Asia/ICC/SL), 6.8, 77.56, 4.160, 0.00000]
[IM Chappell (AUS), 48.07, 77, 42.063, 50.00000]
[DA Marillier (ZIM), 18.16, 70.81, 16.390, 7.31707]
[Rohan Mustafa (UAE), 20.33, 68.12, 20.333, 3.03030]
[R Powell (WI), 23.92, 83.12, 21.613, 6.45161]
[UC Hathurusingha (SL), 20.9, 50.75, 20.273, 12.12121]
[AC Botha (IRE), 19.58, 68.65, 17.526, 5.26316]
[HE van der Dussen (SA), 73.77, 81.87, 47.429, 50.00000]
[CJ Ferguson (AUS), 41.43, 85.32, 26.520, 20.00000]
[LE Plunkett (ENG), 20.83, 102.7, 12.920, 2.00000]
[S Ramesh (INDIA), 28.08, 59.15, 26.917, 25.00000]
[AK Markram (SA), 27.95, 85.16, 26.792, 8.33333]
[Qasim Umar (PAK), 22.92, 57.06, 20.710, 12.90323]
[Abdul Qadir (PAK), 15.26, 75.5, 9.426, 0.00000]
[DL Hemp (BMUDA), 33.73, 70.28, 29.136, 18.18182]
[CEL Ambrose (WI), 10.65, 64.87, 6.656, 0.00000]
[BMAJ Mendis (SL), 18.7, 82.7, 14.455, 2.27273]
[C de Grandhomme (NZ), 27.52, 107.28, 21.828, 10.34483]
[JF Reid (NZ), 27.52, 58.39, 26.375, 16.66667]
[DLS van Bunge (NL), 21.1, 66.42, 20.419, 9.67742]
[PSP Handscomb (AUS), 33.26, 97.38, 31.600, 20.00000]
[RMH Binny (INDIA), 16.12, 60.13, 12.837, 2.04082]
[GR Larsen (NZ), 14.62, 64.84, 8.986, 0.00000]
[AM Blignaut (ZIM), 18.96, 106.28, 15.268, 12.19512]
[DJ Nash (NZ), 15.6, 66.38, 11.774, 0.00000]
[DN Patel (NZ), 11.75, 71.77, 9.889, 1.58730]
[RR Patel (KENYA), 20.03, 63.49, 17.743, 5.71429]
[GRJ Matthews (AUS), 16.72, 67.94, 12.380, 2.00000]
[WV Raman (INDIA), 23.73, 55.63, 22.852, 11.11111]
[GJ Rennie (ZIM), 19.9, 66.48, 16.676, 5.40541]
[SFAF Bacchus (WI), 26.6, 65.94, 23.538, 11.53846]
[RJ Ratnayake (SL), 16.54, 86.8, 11.127, 0.00000]
[J Botha (Afr/SA), 19.03, 85.77, 12.180, 0.00000]
[D Gough (ENG/ICC), 12.42, 64.3, 7.000, 0.00000]
[AJ Hollioake (ENG), 25.25, 75.09, 20.200, 10.00000]
[RW Chakabva (ZIM), 18.15, 58.89, 17.114, 2.85714]
[RIC Holder (WI), 23.96, 68.37, 19.323, 6.45161]
[RT Robinson (ENG), 22.96, 58.18, 22.962, 11.53846]
[BM Laird (AUS), 29.7, 53.75, 25.826, 8.69565]
[Mansoor Akhtar (PAK), 17.44, 51.65, 16.943, 0.00000]
[W Larkins (ENG), 24.62, 56.44, 24.625, 0.00000]
[LOB Cann (BMUDA), 26.81, 117.06, 23.600, 4.00000]
[AU Rashid (ENG), 18.96, 102.43, 13.674, 2.32558]
[FDM Karunaratne (SL), 26.63, 73.15, 24.417, 16.66667]
[RJ Nicol (NZ), 30.84, 75.51, 27.905, 9.52381]
[SB Joshi (INDIA), 17.17, 89.43, 12.978, 2.22222]
[RT Latham (NZ), 20.1, 57.83, 17.667, 3.03030]
[Khurram Khan (UAE), 41.57, 80.27, 36.375, 18.75000]
[R Mutumbami (ZIM), 20.06, 71.49, 18.774, 9.67742]
[JL Carter (WI), 23.24, 70.68, 20.750, 10.71429]
[GH Dockrell (IRE), 16.54, 69.34, 10.158, 3.50877]
[DAS Gunaratne (SL), 27.38, 79.41, 23.000, 4.00000]
[BJ Hodge (AUS), 30.26, 87.51, 27.381, 14.28571]
[MJR Rindel (SA), 27.38, 66.86, 26.136, 9.09091]
[Tushar Imran (BDESH), 14.35, 59.17, 14.350, 5.00000]
[BJ Watling (NZ), 24.91, 68.37, 22.920, 20.00000]
[C White (ENG), 15.77, 61.2, 13.854, 2.43902]
[SL Malinga (SL), 6.83, 74.5, 4.765, 0.84034]
[RM Haq (SCOT), 16.64, 60.79, 14.150, 7.50000]
[KS More (INDIA), 13.09, 69.67, 8.662, 0.00000]
[HG Munsey (SCOT), 25.54, 76.77, 22.480, 8.00000]
[CR Brathwaite (WI), 16.44, 91.04, 15.108, 2.70270]
[Mominul Haque (BDESH), 22.28, 74.36, 21.423, 11.53846]
[Aamer Malik (PAK), 25.27, 56.21, 24.174, 21.73913]
[RJ Peterson (SA), 20.59, 80.81, 13.561, 2.43902]
[GS Blewett (AUS), 20.4, 61.97, 18.367, 6.66667]
[JN Mohammed (WI), 23.95, 69.3, 22.958, 16.66667]
[Mosaddek Hossain (BDESH), 27.45, 86.72, 18.300, 6.66667]
[AL Phehlukwayo (SA), 32.29, 90, 17.156, 3.12500]
[TJ Friend (ZIM), 16.11, 75.69, 14.051, 7.69231]
[T Duffin (ZIM), 23.73, 54.98, 23.739, 13.04348]
[Mohammad Wasim (PAK), 23.6, 52.06, 21.720, 12.00000]
[XM Marshall (USA/WI), 18.06, 66.91, 16.424, 3.03030]
[AP Kuiper (SA), 33.68, 81.41, 23.435, 13.04348]
[P Willey (ENG), 23.39, 62.92, 22.417, 20.83333]
[MC Snedden (NZ), 15.28, 63.46, 9.907, 1.85185]
[Athar Ali Khan (BDESH), 29.55, 56.29, 28.000, 15.78947]
[IS Billcliff (CAN), 27.84, 66.7, 27.842, 21.05263]
[SCJ Broad (ENG), 12.3, 74.61, 7.779, 0.00000]
[NN Odhiambo (KENYA), 12, 71.64, 9.962, 1.88679]
[B Kumar (INDIA), 14.21, 74.82, 10.115, 1.92308]
[Naved-ul-Hasan (PAK), 15.87, 84.51, 10.275, 0.00000]
[Amjad Ali (UAE), 30.58, 76.47, 30.588, 17.64706]
[LK Germon (NZ), 19.96, 65.94, 16.742, 9.67742]
[Mudassar Bukhari (NL), 17.2, 76.9, 15.176, 5.88235]
[TAM Siriwardana (SL), 22.43, 98.28, 21.500, 12.50000]
[KM Dabengwa (ZIM), 19.03, 60.39, 15.118, 0.00000]
[PK Amre (INDIA), 20.52, 64.2, 17.100, 6.66667]
[Dawlat Zadran (AFG), 17.68, 77.25, 9.161, 0.00000]
[KD Walters (AUS), 28.5, 70.08, 21.375, 8.33333]
[JG Bracewell (NZ), 16.51, 71.4, 11.907, 0.00000]
[DP Viljoen (ZIM), 14.22, 61.91, 11.907, 4.65116]
[JM Brearley (ENG), 24.28, 45.53, 21.250, 12.50000]
[WD Parnell (SA), 21.16, 78.39, 13.368, 2.63158]
[AO Suji (KENYA), 12.97, 51.79, 11.000, 2.17391]
[AN Petersen (SA), 28, 82.62, 26.526, 21.05263]
[Taufeeq Umar (PAK), 24, 56.31, 22.909, 13.63636]
[PR Reiffel (AUS), 13.97, 70.94, 8.825, 1.75439]
[AR Nurse (WI), 19.3, 97.85, 12.550, 0.00000]
[JE Emburey (ENG), 14.31, 75.45, 11.133, 0.00000]
[Ghulam Shabber (UAE), 21.73, 62.5, 21.739, 17.39130]
[GP Swann (ENG), 13.88, 90.41, 10.417, 0.00000]
[JH Davey (SCOT), 22.59, 66.98, 17.750, 7.14286]
[JJ Tucker (BMUDA), 19.84, 68.31, 19.077, 3.84615]
[DJ Callaghan (SA), 25.94, 67.9, 19.720, 0.00000]
[Mohammad Mithun (BDESH), 25.94, 74.81, 23.476, 19.04762]
[Naimur Rahman (BDESH), 19.52, 63.29, 18.074, 0.00000]
[JWM Dalrymple (ENG), 19.48, 72.47, 18.731, 7.69231]
[AC Cummins (CAN/WI), 13.5, 82.93, 9.918, 0.00000]
[R McLaren (SA), 18.65, 71.32, 11.829, 2.43902]
[MRJ Veletta (AUS), 32.26, 75.38, 25.474, 10.52632]
[CS Baugh (WI), 20.08, 67.03, 13.771, 0.00000]
[AA Mulla (CAN), 20.08, 81, 20.083, 4.16667]
[SR Patel (ENG), 32.13, 93.23, 21.909, 4.54545]
[CD Wallace (SCOT), 20.95, 91.46, 20.083, 16.66667]
[DJ Reekers (NL), 25.31, 117.03, 25.316, 0.00000]
[TN de Grooth (NL), 17.14, 62.01, 15.000, 3.12500]
[DA Minors (BMUDA), 26.55, 60.42, 23.900, 15.00000]
[BG Rogers (ZIM), 31.86, 69.37, 31.867, 33.33333]
[S Lee (AUS), 17.66, 95.4, 13.629, 0.00000]
[SS Iyer (INDIA), 47.6, 104.84, 47.600, 60.00000]
[Karim Sadiq (AFG), 23.75, 80.91, 21.591, 0.00000]
[MA Leask (SCOT), 21.54, 108.46, 16.929, 10.71429]
[CA Best (WI), 24.89, 68.55, 20.565, 8.69565]
[AJ Bichel (AUS), 20.47, 78.5, 13.083, 2.77778]
[L Siaka (PNG), 18.84, 75.23, 18.840, 4.00000]
[H Patel (CAN), 21.27, 80.13, 20.348, 8.69565]
[MD Shanaka (SL), 26, 115.84, 24.632, 15.78947]
[CH Morris (SA), 20.3, 100.43, 17.296, 3.70370]
[ALF de Mel (SL), 14.56, 78.31, 11.366, 0.00000]
[AO Malhotra (INDIA), 30.46, 70.85, 24.053, 5.26316]
[Umar Gul (PAK), 9.72, 71.18, 7.031, 0.00000]
[C Sharma (INDIA), 24, 90.47, 13.029, 0.00000]
[GEF Barnett (CAN), 20.68, 61.07, 20.682, 4.54545]
[R Gunasekera (CAN), 23.94, 67.2, 23.947, 31.57895]
[RR Hendricks (SA), 26.76, 76.98, 25.278, 11.11111]
[MD Dai (PNG), 28.37, 77.6, 25.222, 16.66667]
[Minhajul Abedin (BDESH), 18.87, 49.83, 17.423, 7.69231]
[Mehrab Hossain (BDESH), 24.94, 58.84, 24.944, 11.11111]
[WIA Fernando (SL), 29.8, 96.33, 29.800, 13.33333]
[TE Blain (NZ), 16.37, 66.76, 11.632, 0.00000]
[SAR Silva (SL), 22.05, 52.62, 22.050, 15.00000]
[MK Pandey (INDIA), 36.66, 91.85, 24.444, 11.11111]
[GR Viswanath (INDIA), 19.95, 52.89, 19.087, 8.69565]
[RL Chase (WI), 27.37, 76.17, 24.333, 11.11111]
[JP Maher (AUS), 25.76, 65.08, 21.900, 5.00000]
[AH Omarshah (ZIM), 16.8, 50.81, 15.607, 3.57143]
[PL Taylor (AUS), 19.86, 74.95, 9.298, 2.12766]
[DN Chudasama (KENYA), 22.84, 63.35, 22.842, 5.26316]
[CJ McDermott (AUS), 7.08, 87.8, 5.538, 0.00000]
[CJO Smith (SCOT), 19.63, 67.5, 16.615, 7.69231]
[Shafiqullah (AFG), 22.63, 105.39, 20.476, 9.52381]
[DR Pringle (ENG), 23.61, 68.99, 14.167, 0.00000]
[MN van Wyk (SA), 26.56, 68.88, 25.000, 23.52941]
[AK Sharma (INDIA), 20.19, 90.4, 15.704, 11.11111]
[RC Russell (ENG), 17.62, 66.3, 13.645, 3.22581]
[AS Hansra (CAN), 23.38, 58.06, 19.136, 9.09091]
[S Prasanna (SL), 12.38, 94.6, 11.378, 5.40541]
[SMA Priyanjan (SL), 23.33, 80.45, 21.000, 10.00000]
[AR Adams (NZ), 17.45, 100.47, 12.324, 0.00000]
[SR Waters (KENYA), 20.95, 55.79, 20.950, 10.00000]
[CO Browne (WI), 17.29, 70.33, 12.969, 0.00000]
[Farhad Reza (BDESH), 16.48, 64.77, 13.290, 3.22581]
[Usman Ghani (AFG), 27.4, 79.03, 27.400, 13.33333]
[GB Brent (ZIM), 12, 58.45, 7.556, 1.85185]
[CB Lambert (USA/WI), 33.91, 75.37, 33.917, 16.66667]
[RW Price (ZIM), 9.66, 57.91, 6.881, 0.00000]
[IR Bishop (WI), 16.2, 52.19, 9.205, 0.00000]
[EA Brandes (ZIM), 13.03, 90.17, 9.854, 4.87805]
[ID Blackwell (ENG), 14.92, 86.66, 13.897, 3.44828]
[F Mutizwa (ZIM), 31, 80.27, 26.867, 26.66667]
[JP Bray (IRE), 28.64, 67.5, 26.733, 0.00000]
[RG de Alwis (SL), 21.1, 78.32, 14.852, 7.40741]
[S Madan Lal (INDIA), 19.09, 62.17, 11.457, 2.85714]
[TBM de Leede (NL), 16.66, 63.69, 16.000, 8.00000]
[WS Jayantha (SL), 26.66, 75.47, 23.529, 11.76471]
[Mushtaq Ahmed (PAK), 9.5, 57.16, 5.250, 0.00000]
[Sohail Tanvir (PAK), 13.75, 87.11, 9.975, 2.50000]
[DR Chumney (CAN), 20.89, 66.72, 18.905, 0.00000]
[Mohammad Naveed (UAE), 16.54, 122.91, 11.676, 0.00000]
[IA Karim (KENYA), 44, 75.86, 44.000, 11.11111]
[AB Barath (WI), 30.3, 64.37, 28.143, 7.14286]
[Shoaib Akhtar (Asia/ICC/PAK), 8.95, 73.23, 4.690, 0.00000]
[T Thushara (SL), 18.66, 92.45, 14.519, 3.70370]
[PJ Ongondo (Afr/KENYA), 9.09, 62.96, 6.306, 0.00000]
[Mirwais Ashraf (AFG), 14.33, 71.27, 10.184, 2.63158]
[AF Giles (ENG), 17.5, 69.87, 11.000, 0.00000]
[Hannan Sarkar (BDESH), 19.15, 53.71, 19.150, 15.00000]
[Sadiq Mohammad (PAK), 21.27, 50.72, 20.158, 10.52632]
[Mehidy Hasan Miraz (BDESH), 19.05, 76.5, 15.875, 4.16667]
[MH Dekker (ZIM), 18.95, 47.49, 17.227, 9.09091]
[DM Wellham (AUS), 25.26, 54.22, 22.294, 5.88235]
[S Bau (PNG), 18.9, 62.79, 18.000, 4.76190]
[U Bhatti (CAN), 17.18, 73.68, 12.600, 0.00000]
[GF Lawson (AUS), 11.11, 75.6, 7.269, 0.00000]
[MR Ramprakash (ENG), 26.85, 69.11, 20.889, 5.55556]
[Al Sahariar (BDESH), 13.35, 52.75, 12.897, 6.89655]
[CC Lewis (ENG), 14.38, 81.48, 9.350, 0.00000]
[SMH Kirmani (INDIA), 20.72, 60.55, 12.032, 0.00000]
[DS de Silva (SL), 19.52, 53.69, 12.793, 0.00000]
[S Chattergoon (WI), 24.66, 60.16, 21.765, 11.76471]
[PJ Forrest (AUS), 26.28, 65.59, 26.286, 21.42857]
[DW Steyn (Afr/SA), 9.35, 64.94, 7.157, 1.96078]
[WM Darling (AUS), 21.35, 53.46, 20.167, 5.55556]
[Mohammad Amir (PAK), 18.15, 81.75, 12.100, 6.66667]
[SP Narine (WI), 11, 82.31, 8.067, 0.00000]
[SS Karim (INDIA), 15.73, 64.64, 13.407, 3.70370]
[R Rampaul (WI), 12.48, 76.69, 9.050, 2.50000]
[Shahriar Hossain (BDESH), 19.05, 53.07, 19.053, 10.52632]
[SW Ambris (WI), 60.16, 101.97, 45.125, 12.50000]
[Asif Ali (PAK), 27.76, 128.92, 25.786, 21.42857]
[DG Brownlie (NZ), 25.78, 74.27, 24.067, 6.66667]
[Hazratullah Zazai (AFG), 22.56, 88.26, 22.563, 12.50000]
[WK McCallan (IRE), 20.05, 86.15, 12.893, 3.57143]
[RC Irani (ENG), 14.4, 65.57, 12.000, 3.33333]
[Mushfiqur Rahman (BDESH), 16.36, 52.17, 14.400, 0.00000]
[BJ Patel (KENYA), 16.36, 48.91, 14.400, 0.00000]
[AD Brown (ENG), 22.12, 82.9, 22.125, 6.25000]
[ADS Fletcher (WI), 14.16, 64.48, 14.160, 8.00000]
[Nasir Jamal (AFG), 27.07, 65.54, 25.143, 21.42857]
[Wajahatullah Wasti (PAK), 23.26, 48.94, 23.267, 6.66667]
[Aaron Jones (USA), 38.66, 66.79, 38.667, 33.33333]
[MA Starc (AUS), 12.42, 89.46, 7.565, 2.17391]
[Zahid Fazal (PAK), 23.2, 59.58, 19.333, 11.11111]
[RR Pant (INDIA), 26.61, 105.48, 26.615, 7.69231]
[RDB Croft (ENG), 14.37, 66.47, 9.583, 0.00000]
[Ashfaq Ahmed (UAE), 21.5, 88.88, 21.500, 12.50000]
[GP Wickramasinghe (SL), 8.6, 63.35, 5.375, 0.00000]
[DNT Zoysa (SL), 13.19, 95.81, 7.298, 0.00000]
[HH Kanitkar (INDIA), 17.84, 66.21, 12.556, 3.70370]
[M Vijay (INDIA), 21.18, 66.99, 21.188, 6.25000]
[BE Congdon (NZ), 56.33, 71.61, 37.556, 22.22222]
[CM Old (ENG), 18.77, 84.28, 13.520, 4.00000]
[Shadab Khan (PAK), 25.92, 68.63, 15.318, 13.63636]
[MG Burgess (NZ), 16.8, 65.24, 16.800, 0.00000]
[NM Hauritz (AUS), 22.4, 96.27, 10.500, 3.12500]
[SD Outerbridge (BMUDA), 14.6, 54.9, 14.609, 4.34783]
[Tapash Baisya (BDESH), 12, 58.33, 8.195, 0.00000]
[SS Pathirana (SL), 25.53, 86.68, 23.714, 7.14286]
[KA Edwards (WI), 23.64, 67, 20.688, 0.00000]
[Manjural Islam Rana (BDESH), 20.68, 49.55, 15.762, 4.76190]
[S Mukuddem (BMUDA), 23.64, 50.92, 18.389, 5.55556]
[Adnan Mufti (UAE), 27.5, 80.68, 20.625, 6.25000]
[Asif Iqbal (PAK), 55, 70.81, 41.250, 62.50000]
[ZE Surkari (CAN), 17.26, 50, 14.909, 0.00000]
[DJ Capel (ENG), 19.23, 68.26, 17.211, 5.26316]
[MH Yardy (ENG), 20.37, 69.06, 13.583, 8.33333]
[ML Nkala (ZIM), 10.8, 61.59, 9.257, 0.00000]
[Saeed Ajmal (PAK), 7.04, 60.56, 4.629, 0.00000]
[RP Snell (SA), 16.1, 97.57, 11.500, 7.14286]
[KJJ van Noortwijk (NL), 46, 75.23, 35.778, 11.11111]
[Anwar Ali (PAK), 29.18, 87.46, 20.063, 0.00000]
[CA Walsh (WI), 6.97, 71.17, 4.063, 0.00000]
[RB McCosker (AUS), 22.85, 51.36, 22.857, 14.28571]
[DR Brown (ENG/SCOT), 17.72, 66.32, 13.292, 4.16667]
[HP Rinke (ZIM), 17.61, 83.86, 17.611, 16.66667]
[Faisal Iqbal (PAK), 22.42, 60.5, 19.625, 0.00000]
[NAM McLean (WI), 12.07, 81.98, 9.235, 2.94118]
[Mohammad Sami (PAK), 11.62, 64.08, 6.826, 0.00000]
[B Wood (ENG), 31.4, 48.53, 26.167, 16.66667]
[VV Morea (PNG), 26.08, 68.04, 24.077, 23.07692]
[RC Fredericks (WI), 25.91, 70.68, 25.917, 8.33333]
[BR Hartland (NZ), 20.73, 49.91, 19.438, 12.50000]
[Chirag Suri (UAE), 22.14, 56.88, 22.143, 14.28571]
[N Chopra (INDIA), 15.5, 62.24, 11.923, 3.84615]
[BC Hollioake (ENG), 20.6, 81.1, 18.176, 11.76471]
[Nafees Iqbal (BDESH), 19.31, 54.4, 19.313, 12.50000]
[KAJ Roach (WI), 13.39, 53.47, 5.404, 0.00000]
[Ihsanullah (AFG), 21.92, 69.77, 19.188, 18.75000]
[DM Benkenstein (SA), 17.94, 65.87, 15.250, 5.00000]
[TK Musakanda (ZIM), 21.71, 79.58, 20.267, 6.66667]
[LE Bosman (Afr/SA), 25.08, 98.68, 25.083, 16.66667]
[CMW Read (ENG), 17.64, 73.17, 12.500, 0.00000]
[WKM Benjamin (WI), 7.45, 73.39, 5.731, 0.00000]
[GS Ballance (ENG), 21.21, 67.04, 19.800, 13.33333]
[PA Nixon (ENG), 21.21, 85.59, 16.500, 0.00000]
[Zahoor Elahi (PAK), 22.84, 58.57, 21.214, 21.42857]
[CJA Amini (PNG), 21.14, 68.83, 19.733, 13.33333]
[DN Crookes (SA), 14.8, 71.84, 12.870, 4.34783]
[AJ Pycroft (ZIM), 17.35, 52.67, 15.526, 10.52632]
[DR Tuffey (NZ), 9.51, 79.3, 5.673, 0.00000]
[DL Murray (WI), 24.5, 62.82, 17.294, 11.76471]
[SJ Myburgh (NL), 24.5, 86.72, 22.615, 15.38462]
[JL Denly (ENG), 26.63, 65.54, 26.636, 18.18182]
[SE Bond (NZ), 16.22, 76.04, 7.300, 0.00000]
[P Kumar (INDIA), 13.9, 88.21, 8.848, 3.03030]
[SM Sharif (SCOT), 17.17, 74.11, 8.848, 0.00000]
[Tanwir Afzal (HKG), 18.25, 114.5, 15.368, 5.26316]
