[SR Tendulkar (INDIA), 44.83, 86.23, 39.797, 20.73434]
[KC Sangakkara (Asia/ICC/SL), 41.98, 78.86, 35.233, 23.01980]
[RT Ponting (AUS/ICC), 42.03, 80.39, 36.544, 21.86667]
[ST Jayasuriya (Asia/SL), 32.36, 91.2, 30.180, 15.28090]
[DPMD Jayawardene (Asia/SL), 33.37, 78.96, 28.237, 17.18750]
[Inzamam-ul-Haq (Asia/PAK), 39.52, 74.24, 31.056, 21.95767]
[V Kohli (INDIA), 59.84, 93.28, 47.971, 22.72727]
[JH Kallis (Afr/ICC/SA), 44.36, 72.89, 35.302, 26.21951]
[SC Ganguly (Asia/INDIA), 41.02, 73.7, 36.537, 23.15113]
[R Dravid (Asia/ICC/INDIA), 39.16, 71.24, 31.654, 24.12791]
[MS Dhoni (Asia/INDIA), 50.57, 87.56, 30.780, 20.85714]
[CH Gayle (ICC/WI), 37.83, 87.19, 34.817, 17.94020]
[BC Lara (ICC/WI), 40.48, 79.51, 34.799, 21.07023]
[TM Dilshan (SL), 39.27, 86.23, 31.182, 14.24242]
[Mohammad Yousuf (Asia/PAK), 41.71, 75.1, 33.750, 22.22222]
[AC Gilchrist (AUS/ICC), 35.89, 96.94, 33.516, 19.16376]
[AB de Villiers (Afr/SA), 53.5, 101.09, 42.004, 23.24561]
[M Azharuddin (INDIA), 36.92, 74.02, 28.078, 17.36527]
[PA de Silva (SL), 34.9, 81.13, 30.143, 20.77922]
[RG Sharma (INDIA), 49.14, 88.88, 40.471, 19.45701]
[Saeed Anwar (PAK), 39.21, 80.67, 35.725, 17.40891]
[S Chanderpaul (WI), 41.6, 70.74, 32.754, 22.01493]
[Yuvraj Singh (Asia/INDIA), 36.55, 87.67, 28.622, 17.10526]
[DL Haynes (WI), 41.37, 63.09, 36.336, 23.94958]
[MS Atapattu (SL), 37.57, 67.72, 31.825, 22.01493]
[ME Waugh (AUS), 39.35, 76.9, 34.836, 20.49180]
[LRPL Taylor (NZ), 47.86, 83, 36.737, 21.92982]
[V Sehwag (Asia/ICC/INDIA), 35.05, 104.33, 32.960, 15.13944]
[HM Amla (SA), 49.46, 88.39, 44.823, 21.54696]
[HH Gibbs (SA), 36.13, 83.26, 32.637, 14.91935]
[SP Fleming (ICC/NZ), 32.4, 71.49, 28.704, 17.50000]
[MJ Clarke (AUS), 44.58, 78.98, 32.576, 23.67347]
[SR Waugh (AUS), 32.9, 75.91, 23.289, 13.84615]
[Shoaib Malik (PAK), 34.55, 81.9, 26.251, 15.33101]
[A Ranatunga (SL), 35.84, 77.9, 27.717, 18.21561]
[Javed Miandad (PAK), 41.7, 67.01, 31.678, 21.45923]
[EJG Morgan (ENG/IRE), 39.71, 91.24, 31.536, 19.74249]
[Younis Khan (PAK), 31.24, 75.29, 27.355, 18.11321]
[Saleem Malik (PAK), 32.88, 76.41, 25.336, 16.60777]
[NJ Astle (NZ), 34.92, 72.64, 31.794, 18.38565]
[GC Smith (Afr/SA), 37.98, 80.81, 35.477, 23.85787]
[WU Tharanga (Asia/SL), 33.74, 75.92, 29.579, 15.74468]
[MG Bevan (AUS), 53.58, 74.16, 29.793, 19.82759]
[Tamim Iqbal (BDESH), 35.52, 77.74, 33.784, 23.03922]
[G Kirsten (SA), 40.95, 72.04, 36.746, 24.32432]
[A Flower (ZIM), 35.34, 74.59, 31.859, 25.82160]
[IVA Richards (WI), 47, 90.2, 35.941, 24.06417]
[MJ Guptill (NZ), 42.2, 87.34, 37.017, 19.55307]
[Mohammad Hafeez (PAK), 32.9, 76.61, 30.339, 17.43119]
[GW Flower (ZIM), 33.52, 67.58, 29.733, 18.09955]
[Ijaz Ahmed (PAK), 32.33, 80.3, 26.256, 14.80000]
[AR Border (AUS), 30.62, 71.42, 23.897, 14.28571]
[Shakib Al Hasan (BDESH), 37.86, 82.75, 30.694, 22.81553]
[BRM Taylor (ZIM), 35.55, 76.22, 32.606, 19.68912]
[RB Richardson (WI), 33.41, 63.74, 27.893, 19.64286]
[ML Hayden (AUS/ICC), 43.8, 78.96, 38.093, 22.36025]
[KS Williamson (NZ), 47.9, 81.82, 41.154, 26.17450]
[Mushfiqur Rahim (BDESH), 36.3, 79.03, 28.241, 17.12963]
[DM Jones (AUS), 44.61, 72.56, 37.000, 28.04878]
[DC Boon (AUS), 37.04, 65.13, 32.950, 20.44199]
[JN Rhodes (SA), 35.11, 80.9, 24.224, 13.46939]
[JE Root (ENG), 51.36, 87.37, 40.951, 23.07692]
[Rameez Raja (PAK), 32.09, 63.31, 29.500, 15.65657]
[AD Mathews (SL), 42.73, 83.33, 27.159, 18.69159]
[RR Sarwan (WI), 42.67, 75.74, 32.066, 20.99448]
[CL Hooper (WI), 35.34, 76.63, 25.379, 12.77533]
[SR Watson (AUS), 40.54, 90.44, 30.300, 17.36842]
[H Masakadza (ZIM), 27.73, 73.21, 27.072, 16.26794]
[SK Raina (INDIA), 35.31, 93.5, 24.845, 15.92920]
[MN Samuels (WI), 32.97, 75.11, 27.082, 14.49275]
[WJ Cronje (SA), 38.64, 76.47, 29.601, 20.74468]
[S Dhawan (INDIA), 44.5, 94.01, 41.489, 20.30075]
[F du Plessis (SA), 47.47, 88.6, 38.510, 24.47552]
[MEK Hussey (AUS), 48.15, 87.16, 29.416, 21.08108]
[IR Bell (ENG), 37.87, 77.16, 33.640, 21.73913]
[A Jadeja (INDIA), 37.47, 69.8, 27.342, 15.30612]
[DR Martyn (AUS), 40.8, 77.73, 25.702, 17.78846]
[G Gambhir (INDIA), 39.68, 85.25, 35.633, 23.12925]
[ADR Campbell (ZIM), 30.5, 66.18, 27.580, 15.95745]
[RS Mahanama (SL), 29.49, 60.57, 24.235, 16.43192]
[CG Greenidge (WI), 45.03, 64.92, 40.109, 24.21875]
[Misbah-ul-Haq (PAK), 43.4, 73.75, 31.617, 25.92593]
[JP Duminy (SA), 36.81, 84.55, 25.714, 13.56784]
[PD Collingwood (ENG), 35.36, 76.98, 25.848, 13.19797]
[A Symonds (AUS), 39.75, 92.44, 25.697, 15.15152]
[Abdul Razzaq (Asia/PAK), 29.7, 81.25, 19.170, 8.67925]
[DA Warner (AUS), 45.77, 95.55, 43.017, 17.24138]
[CL Cairns (ICC/NZ), 29.46, 84.26, 23.023, 12.09302]
[Q de Kock (SA), 45.01, 95.2, 42.670, 20.86957]
[Aamer Sohail (PAK), 31.86, 65.5, 30.641, 19.87179]
[CD McMillan (NZ), 28.18, 75.94, 23.893, 14.21320]
[MD Crowe (NZ), 38.55, 72.63, 32.895, 23.77622]
[AJ Stewart (ENG), 31.6, 68.36, 27.512, 16.47059]
[AJ Finch (AUS), 40.34, 89.51, 38.311, 20.16807]
[SB Styris (NZ), 32.48, 79.41, 23.846, 14.89362]
[KP Pietersen (ENG/ICC), 40.73, 86.58, 32.647, 18.38235]
[NS Sidhu (INDIA), 37.08, 69.72, 32.449, 24.26471]
[CZ Harris (NZ), 29, 66.51, 17.516, 6.40000]
[GR Marsh (AUS), 39.97, 55.93, 37.239, 18.80342]
[E Chigumbura (Afr/ZIM), 25.23, 80.02, 20.376, 8.92019]
[ME Trescothick (ENG), 37.37, 85.21, 35.244, 17.07317]
[GA Gooch (ENG), 36.98, 61.88, 34.320, 18.40000]
[AJ Strauss (ENG), 35.63, 80.94, 33.110, 21.25984]
[K Srikkanth (INDIA), 29.01, 71.74, 28.021, 18.49315]
[PR Stirling (IRE), 37.04, 87.27, 35.421, 20.17544]
[WTS Porterfield (IRE), 31.05, 69.38, 29.684, 12.50000]
[AJ Lamb (ENG), 39.31, 75.54, 32.869, 21.31148]
[Mahmudullah (BDESH), 33.84, 76.48, 21.589, 11.35135]
[RP Arnold (SL), 35.26, 72.57, 21.944, 15.55556]
[AP Gurusinha (SL), 28.27, 60.88, 26.544, 14.96599]
[JG Wright (NZ), 26.46, 57.18, 26.114, 16.10738]
[DJ Cullinan (SA), 32.99, 70.28, 27.971, 16.66667]
[GA Hick (ENG), 37.33, 74.08, 32.050, 22.50000]
[SPD Smith (AUS), 41.41, 86.31, 32.288, 19.49153]
[SC Williams (ZIM), 34.1, 81.76, 28.374, 23.66412]
[RS Kaluwitharana (SL), 22.22, 77.7, 19.635, 12.16931]
[Imran Khan (PAK), 33.41, 72.65, 21.194, 10.85714]
[PV Simmons (WI), 28.93, 67.96, 25.699, 12.58741]
[NV Knight (ENG), 40.41, 71.52, 36.370, 25.00000]
[LD Chandimal (SL), 32.42, 74.12, 24.651, 15.06849]
[L Klusener (SA), 41.1, 89.91, 20.912, 11.11111]
[MA Taylor (AUS), 32.23, 59.46, 31.097, 24.77876]
[DB Vengsarkar (INDIA), 34.73, 67.73, 27.194, 17.82946]
[KJ O'Brien (IRE), 30.88, 88.98, 24.577, 12.67606]
[Mohammad Ashraful (Asia/BDESH), 22.23, 70.1, 19.593, 11.29944]
[SO Tikolo (Afr/KENYA), 29.05, 75.77, 25.393, 17.77778]
[HH Dippenaar (Afr/SA), 42.23, 67.78, 31.972, 24.29907]
[A Flintoff (ENG/ICC), 32.01, 88.82, 24.071, 12.76596]
[T Taibu (Afr/ZIM), 29.25, 67.58, 22.620, 14.66667]
[JJ Roy (ENG), 42.79, 107.4, 40.250, 21.42857]
[KC Wessels (AUS/SA), 34.35, 55.3, 30.890, 23.85321]
[Babar Azam (PAK), 54.17, 87.08, 45.392, 20.27027]
[AC Parore (NZ), 25.68, 68.09, 18.514, 7.82123]
[AN Cook (ENG), 36.4, 77.13, 34.826, 20.65217]
[HDRL Thirimanne (SL), 34.71, 72.27, 25.150, 16.53543]
[Umar Akmal (PAK), 34.34, 86.04, 26.397, 16.52893]
[DI Gower (ENG), 30.77, 75.15, 27.807, 10.52632]
[KR Rutherford (NZ), 29.65, 64.3, 25.975, 14.87603]
[BJ Haddin (AUS), 31.53, 84.24, 24.778, 12.69841]
[RJ Shastri (INDIA), 29.04, 61.07, 20.720, 12.00000]
[SM Gavaskar (INDIA), 35.13, 62.26, 28.630, 25.00000]
[DS Lehmann (AUS), 38.96, 81.34, 26.308, 14.52991]
[DA Miller (SA), 38.7, 100.13, 24.270, 9.52381]
[GJ Bailey (AUS), 40.58, 83.51, 33.822, 24.44444]
[SD Hope (WI), 52.75, 74.32, 41.764, 20.83333]
[V Sibanda (Afr/ZIM), 24.54, 63.48, 23.575, 16.53543]
[AM Rahane (INDIA), 35.26, 78.63, 32.911, 26.66667]
[HH Streak (Afr/ZIM), 28.29, 73.42, 15.571, 6.87831]
[WW Hinds (WI), 28.51, 65.55, 24.202, 11.76471]
[JM Bairstow (ENG), 47.68, 104.07, 38.662, 14.86486]
[DM Bravo (WI), 30.85, 70.18, 25.809, 16.36364]
[IJL Trott (ENG), 51.25, 77.06, 41.456, 32.35294]
[AL Logie (WI), 28.95, 73.9, 17.778, 8.86076]
[AH Jones (NZ), 35.69, 57.86, 32.000, 28.73563]
[Mohammad Nabi (AFG), 27.82, 85.54, 22.435, 12.09677]
[SE Marsh (AUS), 40.77, 81.41, 37.986, 20.54795]
[M Kaif (INDIA), 32.01, 72.03, 22.024, 13.60000]
[SV Carlisle (ZIM), 27.67, 63.35, 24.685, 8.10811]
[MDKJ Perera (SL), 31.12, 93, 27.949, 14.28571]
[Mohammad Shahzad (AFG), 33.66, 88.48, 32.464, 16.66667]
[Salman Butt (PAK), 36.82, 76.28, 34.936, 17.94872]
[RG Twose (NZ), 38.81, 75.4, 31.230, 22.98851]
[RS Bopara (ENG), 30.62, 77.84, 22.458, 11.66667]
[BA Stokes (ENG), 40.63, 93.94, 28.232, 21.05263]
[Sikandar Raza (ZIM), 34.05, 81.74, 27.381, 14.43299]
[EC Joyce (ENG/IRE), 38, 72.23, 33.615, 19.23077]
[Ahmed Shehzad (PAK), 32.56, 72.08, 32.160, 17.28395]
[NJ O'Brien (IRE), 28.05, 70.94, 25.058, 17.47573]
[Zaheer Abbas (PAK), 47.62, 84.8, 41.484, 20.96774]
[CR Ervine (ZIM), 32.54, 75.48, 27.645, 16.12903]
[AC Hudson (SA), 29.41, 64.62, 28.753, 20.22472]
[TWM Latham (NZ), 32.27, 82.36, 26.842, 15.78947]
[VG Kambli (INDIA), 32.59, 71.94, 23.817, 13.46154]
[Imrul Kayes (BDESH), 32.02, 71.1, 31.205, 20.51282]
[TM Odoyo (Afr/KENYA), 23.49, 70.38, 17.794, 5.88235]
[AD Hales (ENG), 37.79, 95.72, 34.557, 20.00000]
[RA Smith (ENG), 39.01, 69.65, 34.070, 21.12676]
[L Vincent (NZ), 27.11, 69.88, 23.657, 10.78431]
[KJ Coetzer (SCOT), 43.8, 86.18, 40.831, 28.81356]
[CJ Chibhabha (ZIM), 23.65, 63.13, 23.194, 15.53398]
