[Shahid Afridi (Asia/ICC/PAK), 23.57, 117, 20.261, 9.79899]
[BB McCullum (NZ), 30.41, 96.37, 23.396, 12.30769]
[MV Boucher (Afr/SA), 28.57, 84.76, 15.885, 8.81356]
[JC Buttler (ENG), 40.88, 119.83, 27.063, 14.08451]
[N Kapil Dev (INDIA), 23.79, 95.07, 16.813, 6.22222]
[Wasim Akram (PAK), 16.52, 88.33, 10.441, 1.68539]
[SM Pollock (Afr/ICC/SA), 26.45, 86.69, 11.614, 4.62046]
[Moin Khan (PAK), 23, 81.3, 14.913, 5.47945]
[Kamran Akmal (PAK), 26.09, 83.94, 20.611, 6.36943]
[DJ Bravo (WI), 25.36, 82.3, 18.098, 6.09756]
[GJ Maxwell (AUS), 32.32, 123.37, 26.155, 17.27273]
[JDP Oram (NZ), 24.09, 86.61, 15.213, 8.12500]
[KA Pollard (WI), 26.06, 94.14, 22.411, 9.34579]
[DL Vettori (ICC/NZ), 17.33, 82.98, 7.637, 1.35593]
[NLTC Perera (SL), 19.73, 111.67, 13.727, 6.21118]
[D Ramdin (WI), 25, 80.35, 15.827, 5.75540]
[RA Jadeja (INDIA), 31.25, 86.04, 13.761, 6.91824]
[IT Botham (ENG), 23.21, 79.1, 18.216, 7.75862]
[RL Powell (WI), 24.82, 96.66, 19.128, 7.33945]
[DJG Sammy (WI), 24.94, 100.05, 14.849, 7.14286]
[JO Holder (WI), 25.68, 94.28, 16.054, 8.03571]
[Mashrafe Mortaza (Asia/BDESH), 13.84, 87.67, 8.230, 0.46083]
[MM Ali (ENG), 25.59, 104.06, 17.485, 4.95050]
[IA Healy (AUS), 21, 83.84, 10.500, 2.38095]
[Sir RJ Hadlee (NZ), 21.61, 75.5, 15.226, 3.47826]
[Rashid Latif (PAK), 19.42, 76.39, 10.295, 1.80723]
[UDU Chandana (SL), 17.3, 72.99, 11.068, 3.40136]
[DR Smith (WI), 18.57, 92.69, 14.857, 7.61905]
[IK Pathan (INDIA), 23.39, 79.54, 12.867, 4.16667]
[Azhar Mahmood (PAK), 18.1, 76.5, 10.636, 2.09790]
[N Boje (Afr/SA), 26.67, 88.7, 12.296, 3.47826]
[L Ronchi (AUS/NZ), 23.67, 114.5, 16.435, 4.70588]
[KM Jadhav (INDIA), 42.31, 102.18, 19.070, 8.45070]
[Sabbir Rahman (BDESH), 25.63, 91.23, 20.197, 9.09091]
[KMDN Kulasekara (SL), 15.43, 81.46, 7.212, 2.17391]
[JR Hopes (AUS), 25.01, 93.71, 15.786, 3.57143]
[MJ Prior (ENG), 24.18, 76.76, 18.853, 4.41176]
[C Munro (NZ), 24.92, 104.69, 22.298, 14.03509]
[JEC Franklin (NZ), 23.96, 76.92, 11.545, 3.63636]
[AB Agarkar (INDIA), 14.58, 80.62, 6.644, 1.57068]
[MN Waller (ZIM), 19.07, 76.81, 15.937, 6.32911]
[JDS Neesham (NZ), 31.17, 98.96, 21.136, 10.16949]
[SP O'Donnell (AUS), 25.34, 80.96, 14.276, 10.34483]
[Harbhajan Singh (Asia/INDIA), 13.3, 81.06, 5.242, 0.00000]
[RW Marsh (AUS), 20.08, 82.26, 13.315, 4.34783]
[CR Woakes (ENG), 24.7, 90.12, 11.980, 4.04040]
[B Lee (AUS), 17.81, 83.58, 5.321, 1.35747]
[MF Maharoof (SL), 19.52, 86.01, 10.211, 1.83486]
[CJ Anderson (NZ), 27.72, 108.72, 22.633, 8.16327]
[F Behardien (SA), 30.68, 97.9, 18.203, 10.16949]
[NL McCullum (NZ), 20.98, 87.7, 12.738, 4.76190]
[IDS Smith (NZ), 17.29, 99.43, 10.765, 3.06122]
[KD Mills (NZ), 15.62, 81.66, 6.159, 1.17647]
[Gulbadin Naib (AFG), 21.68, 73.1, 16.015, 7.69231]
[AD Russell (WI), 27.21, 130.22, 18.464, 7.14286]
[JP Faulkner (AUS), 34.4, 104.24, 14.957, 5.79710]
[PW Borren (NL), 22.31, 85.37, 17.310, 8.62069]
[BL Cairns (NZ), 16.72, 104.88, 12.654, 2.56410]
[JF Mooney (IRE), 23.48, 79.25, 15.047, 4.68750]
[HH Pandya (INDIA), 29.9, 115.57, 17.722, 7.40741]
[MD Marshall (WI), 14.92, 76.64, 7.022, 1.47059]
[SF Mire (ZIM), 20.31, 80.25, 20.319, 6.38298]
[Imad Wasim (PAK), 41.39, 109.67, 17.962, 9.43396]
[MG Johnson (AUS), 16.11, 96.35, 6.216, 1.30719]
[CM Spearman (NZ), 18.72, 77.87, 18.353, 9.80392]
[RV Uthappa (INDIA), 25.94, 90.59, 20.304, 13.04348]
[AJ Hall (SA), 21.04, 75.04, 10.284, 3.40909]
[Rashid Khan (AFG), 19.25, 99.88, 12.746, 5.63380]
[MJ Santner (NZ), 27.21, 87.95, 13.014, 2.89855]
[J Srinath (INDIA), 10.63, 79.62, 3.856, 0.43668]
[TT Bresnan (ENG), 19.79, 90.25, 10.247, 1.17647]
[RA Harper (WI), 16.13, 73.58, 8.143, 0.00000]
[WB Phillips (AUS), 24.34, 85.71, 17.750, 12.50000]
[BM McMillan (SA), 23.36, 73.32, 10.782, 0.00000]
[CK Coventry (ZIM), 24.44, 88.68, 21.308, 7.69231]
[YK Pathan (INDIA), 27, 113.6, 14.211, 5.26316]
[JM Davison (CAN), 26.63, 104.17, 24.969, 15.62500]
[Z Khan (Asia/INDIA), 12, 73.46, 3.960, 0.00000]
[GB Hogg (AUS), 20.25, 78.68, 6.423, 1.62602]
[JA Morkel (Afr/SA), 23.69, 100.25, 13.483, 3.44828]
[Abdur Razzak (BDESH), 13.43, 76.37, 5.092, 0.65359]
[Liton Das (BDESH), 24.77, 88.17, 23.273, 9.09091]
[Saleem Yousuf (PAK), 17.86, 75, 8.930, 4.65116]
[CN Evans (ZIM), 18.19, 75.94, 14.415, 3.77358]
[Rizwan Cheema (CAN), 24.64, 111.53, 23.152, 18.18182]
[DT Johnston (IRE), 19.55, 94.64, 11.090, 0.00000]
[Manzoor Elahi (PAK), 22.45, 89.6, 13.722, 1.85185]
[IJ Harvey (AUS), 17.87, 88.16, 9.795, 0.00000]
[LJ Wright (ENG), 20.2, 86.21, 14.140, 4.00000]
[SM Ervine (ZIM), 25.85, 85.53, 16.619, 4.76190]
[PL Symcox (SA), 16.92, 83.61, 8.675, 3.75000]
