[A McGrath (ENG), 16.6, 47.02, 13.833, 8.33333]
[TL Chatara (ZIM), 6.6, 49.1, 3.667, 0.00000]
[Khurram Chohan (CAN), 12.69, 57.89, 8.684, 0.00000]
[GAHM Parkar (INDIA), 18.33, 49.69, 16.500, 0.00000]
[D Bishoo (WI), 10.93, 62.35, 6.560, 0.00000]
[RR Powar (INDIA), 11.64, 62.69, 8.579, 5.26316]
[MV Nagamootoo (WI), 13.5, 60, 9.000, 0.00000]
[CD Cumming (NZ), 13.41, 53.48, 12.385, 0.00000]
[SC Joseph (WI), 16.1, 53.31, 14.636, 9.09091]
[JJ Martin (INDIA), 22.57, 47.73, 19.750, 0.00000]
[PM Seelaar (NL), 11.07, 63.52, 6.458, 0.00000]
[CJ Richards (ENG), 11.84, 58.33, 9.625, 6.25000]
[BB Chari (ZIM), 13.63, 45.18, 13.636, 0.00000]
[NA Foster (ENG), 11.53, 61.47, 6.000, 0.00000]
[D Williams (WI), 9.18, 60.74, 6.391, 0.00000]
[R Clarke (ENG), 11.07, 62.06, 11.077, 0.00000]
[Abdur Rehman (PAK), 8.35, 53.99, 6.174, 0.00000]
[A Nehra (Asia/INDIA), 5.64, 57.31, 3.065, 0.00000]
[Shahid Saeed (PAK), 14.1, 44.62, 14.100, 10.00000]
[HMRKB Herath (SL), 9.33, 64.51, 4.667, 0.00000]
[Rubel Hossain (BDESH), 5, 56.22, 2.692, 0.00000]
[JM Wiener (AUS), 20, 43.2, 20.000, 14.28571]
[EAR de Silva (SL), 9.85, 57.26, 6.900, 0.00000]
[RM Hogg (AUS), 9.13, 63.13, 3.914, 0.00000]
[ST Finn (ENG), 8, 60.98, 4.533, 0.00000]
[G Miller (ENG), 8.5, 51.32, 7.556, 0.00000]
[KD Shah (HKG), 15.11, 57.14, 13.600, 0.00000]
[TS Chisoro (ZIM), 14.88, 61.46, 8.933, 0.00000]
[Krishna Chandran (UAE), 16.75, 48.9, 13.400, 0.00000]
[Arshad Khan (PAK), 12.09, 61.29, 4.586, 0.00000]
[Sajid Ali (PAK), 10.83, 44.36, 10.833, 0.00000]
[RW Taylor (ENG), 13, 41.66, 7.647, 0.00000]
[RJ Trott (BMUDA), 21.66, 52.2, 13.000, 0.00000]
[Shafiul Islam (BDESH), 5.86, 54.89, 3.909, 0.00000]
[DT Hondo (ZIM), 7.47, 51, 4.379, 0.00000]
[A Maregwede (ZIM), 12.4, 56.88, 11.273, 0.00000]
[GA Paterson (ZIM), 12.3, 37.61, 12.300, 0.00000]
[J Arun Lal (INDIA), 9.38, 52.58, 9.385, 7.69231]
[SK Gupta (KENYA), 13.44, 55, 12.100, 0.00000]
[EJ Chatfield (NZ), 10.72, 34.1, 2.458, 0.00000]
[DH Brain (ZIM), 8.35, 68.42, 6.500, 0.00000]
[NB Mahwire (ZIM), 10.63, 46.98, 6.158, 0.00000]
[FL Reifer (WI), 14.62, 51.09, 14.625, 0.00000]
[PH Edmonds (ENG), 10.54, 50, 6.444, 0.00000]
[Tauseef Ahmed (PAK), 10.54, 53.7, 4.640, 0.00000]
[GD McGrath (AUS/ICC), 3.83, 48.72, 1.691, 0.00000]
[C Carter (HKG), 12.66, 61.29, 12.667, 0.00000]
[KD Ghavri (INDIA), 11.4, 58.76, 7.125, 0.00000]
[DP Hyatt (WI), 14, 59.57, 12.444, 0.00000]
[RDM Leverock (BMUDA), 11.1, 29.05, 5.842, 0.00000]
[RD Brown (ZIM), 15.71, 32.93, 15.714, 0.00000]
[BJ McCarthy (IRE), 7.85, 54.72, 6.111, 0.00000]
[Rashid Khan (PAK), 13.75, 63.58, 7.333, 0.00000]
[MG Burmester (ZIM), 18.16, 52.65, 15.571, 0.00000]
[SS McKechnie (HKG), 15.42, 55.95, 13.500, 0.00000]
[Hamid Hassan (AFG), 6.68, 54.87, 4.864, 0.00000]
[G Cook (ENG), 17.66, 40.61, 17.667, 0.00000]
[Faruk Ahmed (BDESH), 15, 38.46, 15.000, 14.28571]
[CD Collymore (WI), 5.77, 39.84, 2.971, 0.00000]
[RP Singh (INDIA), 10.4, 42.97, 5.200, 0.00000]
[MW Priest (NZ), 10.3, 45.77, 7.357, 0.00000]
[G Toka (PNG), 17.16, 54.21, 17.167, 0.00000]
[Ehsan Khan (HKG), 11.33, 44.73, 8.500, 0.00000]
[Waqas Barkat (HKG), 12.75, 55.43, 10.200, 0.00000]
[Arshad Laeeq (UAE), 20.2, 46.97, 16.833, 0.00000]
[XJ Doherty (AUS), 14.42, 54.89, 4.391, 0.00000]
[ERNS Fernando (SL), 20.2, 46.75, 20.200, 0.00000]
[RO Hinds (WI), 16.83, 59.41, 11.222, 0.00000]
[WR James (ZIM), 14.42, 39.6, 12.625, 0.00000]
[Kuldeep Yadav (INDIA), 12.62, 58.38, 5.050, 0.00000]
[S Elworthy (SA), 12.5, 62.5, 6.250, 0.00000]
[AC Evans (SCOT), 10, 63.69, 5.556, 0.00000]
[A Zampa (AUS), 6.66, 62.89, 5.000, 0.00000]
[AFG Griffith (WI), 14.14, 55.93, 12.375, 0.00000]
[DCC Borden (BMUDA), 14, 50.25, 8.909, 0.00000]
[EJ Gray (NZ), 16.33, 42.6, 14.000, 0.00000]
[I Maraj (CAN), 19.6, 37.12, 16.333, 16.66667]
[GC Small (ENG), 6.53, 52.12, 4.083, 0.00000]
[Azhar Hossain (BDESH), 13.71, 36.09, 13.714, 14.28571]
[AA Donald (SA), 4.31, 34.05, 2.375, 0.00000]
[Mohammad Tauqir (UAE), 13.57, 57.92, 10.556, 11.11111]
[HK Olonga (ZIM), 7.3, 58.28, 3.519, 0.00000]
[JS Patel (NZ), 13.57, 58.64, 6.333, 0.00000]
[KL Tucker (BMUDA), 9.5, 38.61, 7.917, 0.00000]
[Aarif Sheikh (NEPAL), 18.8, 53.4, 15.667, 0.00000]
